b2-aggregate	B2	aggregate	c-cli	-	-	wall:W3	13e35464d330815fd8d8121601a3444792bca62ad750cf6abc341ed5031d6361	-	-	-
b2-mp3roaster	B2	mp3roaster	perl-cli	-	-	wall:W2	c24224125fde5232e62efd014de757b992a988405b18bf11a974f40afd8fb216	-	-	-
b2-clzip	B2	clzip	c-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh clzip	87a34499364f1f930e4297448ddd6d09017070ea7ef60d54d79241c34f2c1f39	b2-clzip/report.json	0	3349a894f48a69157f297e3fc5bd33cbf571f707de08c321f3114c554e0a53d8
b2-crip	B2	crip	perl-cli	-	-	wall:W2	d10302fc92457fe84b8f6dcaa9e8416c7af63a7a2b9c88cf3925a39ad73c74dc	-	-	-
b2-giflib-tools	B2	giflib-tools	c-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh giflib-tools	d5f7f67e065af6d4e67de9327c5f952cffc7825d774438a66464b9018bd99a82	b2-giflib-tools/report.json	0	5f85a89a6593e034607825b2cc171e85e3ca1b555b102ddc9d8c1471e018868c
b2-emacspeak	B2	emacspeak	perl-cli	-	-	wall:W3	162cfd332e33d6767b8947b4c2fadffce2ed4b801d3f8dfd190b92e8b6b1e98c	-	-	-
b2-pngcrush	B2	pngcrush	c-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh pngcrush	639e17b1515cc27c97de60ac53bbbb9f70243360fe8417cf18c157373738684e	b2-pngcrush/report.json	0	199b22f1171731e3ee2e3f1581b51ace7bf0364910be9d55bd83d8881d837f95
b2-migrationtools	B2	migrationtools	perl-cli	-	-	wall:W3	95e14bc6c832460895923e5eb9995d9e216c16dbe89dd7912f3404dd376bd5f7	-	-	-
b2-pacpl	B2	pacpl	perl-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh pacpl	c822856c4a0be36e39b032d3b43af4d904bd5710dbe2f1b2c7614441682229ff	b2-pacpl/report.json	2	adfdb1a0388b65a049c126203abfff5d18750d22fcf2874661156801aebac06b
b2-c2hs	B2	c2hs	haskell-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh c2hs	0ee8c495444a72b22e0149fd9004e2e8657028e4bfaf7ad0b34828311c024190	b2-c2hs/report.json	0	56132431363582fe3f89abdc48a3dc994432807325b7ed43cbb3caa04e7f2897
b2-apt-utils	B2	apt-utils	cxx-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh apt-utils	84e24a2436c784bdde84830eda5252ca901947a0ecd51fb308d477d17efd3186	b2-apt-utils/report.json	2	6c5c7a42f9c424215674627056f7daf0b951089ebd0e599ea562cf4307525108
b2-mail-expire	B2	mail-expire	perl-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh mail-expire	c3e78e2246d868ea98a8c2e6e3c84da242c076fd72a1807f84ee895d2245d4c8	b2-mail-expire/report.json	2	6d2b84e1286e611c0a6f9b554325c98218c5b95d03de55cc1d855edbf1d3ba69
b2-conv-tools	B2	conv-tools	c-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh conv-tools	fe4adb57ab5fbbaa8db483cb7c8c92eb0170fc09b6d1476d5701f3755e5e27fc	b2-conv-tools/report.json	0	39511daa4fbd016289758d9e6fdc3dab4d6a49c41c95dba0ce4004efbad2e297
b2-sgml-base	B2	sgml-base	perl-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh sgml-base	9d2cac72c4056a864ff4a96867442d02868be632eec4cd270c96383b106411d5	b2-sgml-base/report.json	1	df5b2a53bd9811e8501b062ff24c654a0dd92dd71cf7f76b2ce6e5d97e1fe158
b2-zh-autoconvert	B2	zh-autoconvert	c-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh zh-autoconvert	c5210711d73986f368b9891bebd3bee79ab31dda4ee0bd0c18d0fbd23c5b76ca	b2-zh-autoconvert/report.json	0	f033ca80df68348f83c4ff9f5b6a8ad0f54ad0779ae1027b8e5f2fe00f3cf5b5
b2-icnsutils	B2	icnsutils	c-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh icnsutils	9d964c3a38bb9e521c68994e64b1c63e25281d34c9d9369e5a77ebe4cb46a6d1	b2-icnsutils/report.json	0	5e6420f02db7f98d9ae72191be196176ddcaf74c49ee946c5e731cdd123a11ab
b2-pgdbf	B2	pgdbf	c-cli	-	-	wall:W3	9b22cf94bbac36a1f1acf8a313c56bc3994a78f1aaffe2551dcce4082517070f	-	-	-
